Movie,Distributor,Gross,Change,Thtrs.,Per Thtr.,Total Gross,Days
Suicide Squad,Warner Bros.,133682248,,4255,31418,"  $133,682,248",3
Jason Bourne,Universal,22405125,-0.62,4039,5547,"  $103,111,145",10
Bad Moms,STX Entertainment,14004006,-0.41,3215,4356,"  $50,850,836",10
The Secret Life of Pets,Universal,11500590,-0.39,3417,3366,"  $319,519,370",31
Star Trek Beyond,Paramount Pictures,10036030,-0.59,3263,3076,"  $127,737,394",17
Nine Lives,EuropaCorp,6249915,,2264,2761,"  $6,249,915",3
Lights Out,Warner Bros.,6006454,-0.44,2581,2327,"  $54,715,706",17
Nerve,Lionsgate,4861528,-0.49,2538,1915,"  $26,850,322",12
Ghostbusters,Sony Pictures,4676192,-0.54,2545,1837,"  $116,588,128",24
Ice Age: Collision Course,20th Century Fox,4325094,-0.61,2738,1580,"  $53,564,891",17
Finding Dory,Walt Disney,1957734,-0.55,1122,1745,"  $473,872,375",52
Café Society,Lionsgate,1605786,-0.31,631,2545,"  $6,695,597",24
Hillary’s America: The Se…,Quality Flix,930025,-0.62,672,1384,"  $11,120,971",24
The Legend of Tarzan,Warner Bros.,801735,-0.68,648,1237,"  $124,051,759",38
Captain Fantastic,Bleecker Street,589171,-0.44,363,1623,"  $3,586,232",31
Indignation,Roadside Attractions,420242,3.51,55,7641,"  $560,488",10
Don’t Think Twice,Film Arcade,373556,1.41,57,6554,"  $679,404",17
Central Intelligence,Warner Bros.,371126,-0.59,266,1395,"  $126,088,877",52
Hunt for the Wilderpeople,The Orchard,335494,-0.08,176,1906,"  $3,469,226",45
Absolutely Fabulous: The Movie,Fox Searchlight,333253,-0.6,226,1475,"  $4,152,331",17
The BFG,Walt Disney,295536,-0.35,234,1263,"  $52,792,307",38
Mike and Dave Need Wedding …,20th Century Fox,276936,-0.81,297,932,"  $45,082,556",31
The Jungle Book,Walt Disney,216877,-0.3,200,1084,"  $362,645,141",115
Captain America: Civil War,Walt Disney,207186,1.81,174,1191,"  $407,197,282",94
Train to Busan,Well Go USA,190913,-0.16,36,5303,"  $1,075,498",17
The Infiltrator,Broad Green Pictures,186049,-0.78,148,1257,"  $14,947,119",26
Independence Day: Resurgence,20th Century Fox,185593,-0.37,165,1125,"  $102,315,545",45
The Purge: Election Year,Universal,181910,-0.75,207,879,"  $78,845,130",38
A Beautiful Planet,Walt Disney,177352,0.11,37,4793,"  $4,842,075",101
Teenage Mutant Ninja Turtle…,Paramount Pictures,135325,-0.38,141,960,"  $81,638,674",66
Gleason,Open Road,111983,0.22,69,1623,"  $246,601",10
The Angry Birds Movie,Sony Pictures,96873,-0.34,154,629,"  $107,225,164",80
Alice Through the Looking G…,Walt Disney,94103,-0.35,126,747,"  $76,846,624",73
The Conjuring 2: The Enfiel…,Warner Bros.,93756,-0.45,166,565,"  $102,310,175",59
The Innocents,Music Box Films,66329,-0.11,49,1354,"  $851,701",38
Me Before You,Warner Bros.,64011,-0.41,103,621,"  $56,154,094",66
Equity,Sony Pictures Classics,54514,-0.34,4,13629,"  $172,908",10
Now You See Me 2,Lionsgate,51272,-0.55,85,603,"  $64,685,359",59
The Shallows,Sony Pictures,38686,-0.8,69,561,"  $54,257,433",45
Love & Friendship,Roadside Attractions,36385,-0.42,34,1070,"  $13,885,344",87
Operation Chromite,CJ Entertainment,31662,,1,31662,"  $31,662",3
Little Men,Magnolia Pictures,30368,,2,15184,"  $30,368",3
Our Little Sister,Sony Pictures Classics,29233,0.18,23,1271,"  $232,961",31
The Lobster,A24,23474,-0.54,28,838,"  $9,135,320",136
The Music of Strangers: Yo …,The Orchard,21366,-0.43,37,577,"  $1,051,523",59
Tickled,Magnolia Pictures,17317,-0.29,15,1154,"  $549,273",52
Elevator to the Gallows,Rialto Pictures,14334,,1,14334,"  $283,080",20148
"Hieronymus Bosch, Touched b…",Kino Lorber,14022,0.16,4,3506,"  $41,056",12
The Tenth Man (2016),Kino Lorber,13730,,4,3433,"  $30,990",10
Cold War 2,Well Go USA,13481,-0.46,4,3370,"  $533,287",31
Eat That Question: Frank Za…,Sony Pictures Classics,13357,0.26,19,703,"  $265,040",45
"Life, Animated",The Orchard,13277,-0.28,36,369,"  $190,736",38
Swiss Army Man,A24,13156,-0.51,24,548,"  $4,134,417",45
Maggie's Plan,Sony Pictures Classics,12431,-0.32,14,888,"  $3,303,188",80
Dark Horse,Sony Pictures Classics,9833,0.18,7,1405,"  $884,834",94
Multiple Maniacs,Janus Films,9814,,1,9814,"  $9,814",16922
Our Kind of Traitor,Roadside Attractions,9453,-0.56,15,630,"  $3,108,724",38
Five Nights in Maine,FilmRise,9059,,10,906,"  $9,059",3
Norman Lear: Just Another V…,Music Box Films,8782,2.07,6,1464,"  $64,330",31
Miss Sharon Jones,Starz Media,8715,-0.16,2,4358,"  $24,975",10
Born to be Wild 3D,Warner Bros.,7724,-0.27,4,1931,"  $24,892,187",1949
The Wailing,Well Go USA,7310,5.63,6,1218,"  $770,629",80
Sweet Bean,Kino Lorber,5819,,4,1455,"  $84,030",143
The Kind Words,Strand,5781,-0.56,7,826,"  $118,867",45
Under the Sun (2016),Icarus Films,5141,0.48,3,1714,"  $72,106",33
Dough,Menemsha Entertainment,5065,-0.12,2,2533,"  $1,142,315",178
Under the Sea 3D,Warner Bros.,4270,3.03,3,1423,"  $35,067,379",2733
Germans and Jews,First Run Features,3685,,1,3685,"  $27,613",59
Fireworks Wednesday,Grasshopper Film,3646,,2,1823,"  $85,549",145
The Seventh Fire,Film Movement,3269,0.96,2,1635,"  $18,647",17
Phantom Boy,GKIDS,3196,-0.66,17,188,"  $30,987",24
Genius,Roadside Attractions,3033,-0.28,13,233,"  $1,349,564",59
Neither Heaven Nor Earth,Film Movement,2836,,1,2836,"  $2,836",3
Raiders! The Story of the G…,Drafthouse Films,2210,3.38,4,553,"  $70,658",52
The Meddler,Sony Pictures Classics,2079,-0.39,4,520,"  $4,259,460",108
Band of Outsiders,Rialto Pictures,1353,,2,677,"  $37,651",18409
Last Cab to Darwin,First Run Features,1336,-0.42,1,1336,"  $31,199",59
The Witness,FilmRise,1246,-0.52,1,1246,"  $146,254",66
Angry Indian Goddess,Mongrel Media,804,,1,804,  $804,3
Presenting Princess Shaw,Magnolia Pictures,505,4,1,505,"  $56,708",73
The Dying of the Light,First Run Features,453,0.11,1,453,"  $6,057",123
Aferim!,Big World Pictures,411,,1,411,"  $107,974",199
Kamikaze 89,Film Movement,350,0.12,1,350,"  $15,040",66
Cosmos,Kino Lorber,318,,1,318,"  $17,052",52
"My Love, Don't Cross That R…",Film Movement,287,-0.88,1,287,"  $67,758",52
Sunset Song,Magnolia Pictures,135,-0.89,1,135,"  $157,313",87
Viktoria,Big World Pictures,133,-0.8,1,133,"  $9,567",101
Men go to Battle,Film Movement,75,-0.93,1,75,"  $13,403",31
The Measure of a Man,Kino Lorber,75,,1,75,"  $112,061",115
