Employee,EducLev,YrsExper,Salary
1,3,3,32000
2,1,14,39100
3,1,12,33200
4,2,8,30600
5,3,3,29000
6,3,3,30500
7,3,4,30000
8,3,8,27000
9,1,4,34000
10,3,9,29500
11,3,9,26800
12,2,8,31300
13,2,9,31200
14,2,10,34700
15,3,4,30000
16,3,3,31000
17,3,6,27000
18,2,8,29600
19,3,5,32600
20,2,4,29600
21,3,4,29500
22,2,3,31000
23,1,5,28500
24,2,3,26700
25,3,3,30750
26,3,3,29500
27,2,16,42200
28,1,13,37600
29,1,12,34000
30,2,4,33000
31,1,7,28760
32,1,11,35400
33,3,3,31000
34,2,18,38800
35,2,14,34300
36,1,19,35000
37,3,3,34600
38,2,2,28500
39,1,11,29500
40,3,3,30500
41,3,5,34200
42,1,15,43600
43,5,7,33500
44,3,12,33000
45,1,18,45300
46,1,17,38800
47,1,10,29900
48,3,5,31200
49,1,15,34000
50,2,2,30450
51,1,3,35500
52,1,4,34000
53,2,7,29100
54,1,8,29650
55,3,15,29200
56,3,9,29800
57,2,16,33500
58,1,8,34000
59,1,9,29600
60,3,18,34000
61,2,3,37250
62,2,6,33000
63,3,4,28600
64,5,5,36000
65,3,4,37300
66,2,7,29900
67,1,11,31500
68,3,5,41400
69,1,17,32740
70,3,3,33500
71,1,5,32000
72,1,9,30800
73,5,3,42000
74,3,4,34000
75,2,16,32500
76,2,9,31700
77,5,3,36500
78,3,4,33000
79,2,8,31200
80,5,8,34000
81,3,6,33000
82,5,4,33900
83,1,3,39000
84,2,12,34920
85,5,3,39000
86,1,8,34000
87,2,6,31900
88,5,3,37000
89,5,4,34000
90,5,3,36400
91,1,15,38200
92,1,15,35300
93,3,3,34500
94,3,12,30500
95,4,2,30000
96,5,8,37300
97,4,5,40200
98,3,5,35500
99,1,11,35000
100,3,4,38000
101,1,9,35300
102,2,14,34100
103,3,4,43200
104,2,15,36100
105,5,7,34600
106,3,5,36000
107,5,7,36200
108,3,7,37500
109,3,4,41000
110,2,10,35600
111,3,5,39800
112,4,11,41300
113,3,9,42500
114,3,4,45800
115,5,5,34900
116,5,4,41500
117,3,5,38000
118,4,6,35000
119,3,6,40000
120,3,5,36000
121,2,9,33700
122,2,5,36300
123,3,3,38000
124,5,4,39500
125,2,7,36300
126,3,8,32500
127,2,12,37000
128,5,3,32600
129,3,4,36000
130,5,3,35000
131,5,3,43600
132,3,8,33800
133,1,21,35300
134,1,16,42400
135,5,5,39500
136,2,25,43500
137,5,6,42000
138,3,21,40300
139,4,6,44000
140,1,25,40660
141,3,13,39700
142,5,6,45000
143,5,7,43900
144,4,8,38000
145,5,5,39020
146,5,5,44500
147,5,4,41000
148,5,6,44000
149,5,6,44000
150,5,5,42500
151,5,7,40260
152,5,5,44500
153,1,13,35500
154,5,6,42500
155,5,7,44000
156,5,6,45000
157,2,15,44400
158,3,17,38000
159,5,4,41800
160,1,23,45500
161,3,5,42500
162,5,3,44000
163,3,19,54300
164,3,26,44800
165,3,6,47000
166,5,15,43800
167,1,12,48000
168,5,9,42700
169,3,14,48500
170,3,16,42000
171,2,16,45500
172,3,11,44500
173,2,13,51200
174,5,7,47500
175,5,8,44500
176,5,8,47000
177,5,6,47000
178,3,17,43100
179,5,8,49000
180,5,8,48500
181,3,8,45000
182,5,16,52500
183,5,6,47500
184,5,7,48000
185,5,8,46500
186,5,12,61500
187,5,9,50000
188,5,12,61800
189,4,16,43000
190,5,11,47000
191,5,9,58500
192,5,16,55000
193,3,24,57000
194,5,17,57000
195,5,14,60000
196,3,13,60000
197,5,19,59000
198,5,12,60000
199,5,20,65000
200,5,20,52000
201,5,22,58000
202,4,21,60000
203,5,39,74000
204,3,34,95000
205,5,36,97000
206,5,32,88000
207,5,35,94000
208,5,33,30000
